KEY,de-DE
illrememberthat*wellresolvethiswhenyoureturntoorbit*marisol-chaplinout*,Das werde ich mir merken. Wir sprechen nochmals abschließend im Orbit darüber. Marisol-Chaplin Ende.
illremindyouthatyousaidthatwhenchancellorliaohasmaskirovkaagentsstrangleusinoursleep*,Ich werde Sie an Ihre Worte erinnern wenn uns Agenten der Maskirovka auf Befehl von Kanzler Liao im Schlaf strangulieren.
illreservejudgmentonthatuntiliveheardwhatshewants*,Ich will erst darüber urteilen wenn ich weiß was sie will.
illseewhaticando*inthemeantime^becareful?,Ich werde sehen was sich machen lässt. In der Zwischenzeit passen Sie bitte auf sich auf.
illseeyouhangedforthis^victoria*youandyourfatherboth!doyouhearme?!youaretraitorstothereach^andiwillfightyoutothelast!,Dafür lass ich dich hängen Victoria. Dich UND deinen Vater! Hörst du?! Ihr habt den Auriga-Sektor <i>verraten</i> und ich werde euch bis aufs Letzte <i>bekämpfen</i>!
illseeyouthroughsafely^ladyarano*youhavemyword*,Ich werde Sie sicher da durchbringen Lady Arano. Darauf gebe ich Ihnen mein Ehrenwort.
illseeyouwhenyourlancemakesplanetfall*newlinenewlineletsbringthiswartoaclose*,Wir sehen uns wenn Ihre Lanze landet.\n\nMachen wir diesem Krieg ein Ende.
illsendthedetailsofthemissiontoyourcommandcomputer*thereisntmuchtime^sopleasecontactmeassoonasyoureready*,Ich schicke die Missionsinformationen an Ihren Befehlscomputer. Die Zeit ist knapp bitte melden Sie sich bei mir sobald Sie bereit sind.
illspeaktomyisfliaisonandseewhattheybelievenephritewilldonext*expecttodeployagainimmediately^commander*idontwanttogivehimachancetogotoground*,Ich werde mit meinem Kontakt bei der ISA reden vielleicht wissen die was Nephrit als Nächstes plant. Machen Sie sich auf einen sofortigen Einsatz gefasst Commander. Ich möchte ihm keine Gelegenheit geben abzutauchen.
illstartputtingtogetherarescueteam*,Ich werde einen Rettungstrupp zusammenstellen.
illtakechaosoverconcentratedfireanyday*plus^ladymarinasaidthatshesgotreinforcementsenroutetohelpus*sogoteam^iguess?,Chaos ist mir immer lieber als alles abzubekommen. Außerdem meinte Lady Marina dass Sie Verstärkung entsendet hätte um uns zu unterstützen. Also ... auf ins Gefecht oder?
illtakechaosoverconcentratedfireanyday*plus^themagistracyissupposedtohavereinforcementsenroutetohelpus*sogoteam^iguess?,Chaos ist mir immer lieber als alles abzubekommen. Außerdem erwarten wir Verstärkung vom Magistrat. Also ... auf ins Gefecht oder?
illtakechaosoverconcentratedfireanyday*plus^thetauriansaresupposedtohavereinforcementsenroutetohelpus*sogoteam^iguess?,Chaos ist mir immer lieber als alles abzubekommen. Außerdem erwarten wir Verstärkung von den Taurianern. Also ... auf ins Gefecht oder?
illtakemyleaveofyounow^{commander*callsign}ihavealliestorallyandanarmytomarshal*newlinenewlinetherestorationwillsummonyouwhenourforceshavebeenassembledfortheassault*,Ich werde mich nun auf den Weg machen {COMMANDER.Callsign} ... ich muss Verbündete um mich versammeln und eine Armee aufstellen.\n\nDie Restauration wird Sie wieder kontaktieren sobald unsere Streitkräfte zum Angriff bereit sind.
illtakeyouuponthat^bossimgonnaneedit*[static]believeitornot^ivehadbetterdays*newlinenewlinehey^cananybodytellmewhythetauriansarefightingforespinosa?andwhatthisostergaardguyhasagainstus^specifically?[static]causethisissomegrade-abullshitrighthere*,Da nehme ich Sie beim Wort Boss ... das werde ich brauchen können. [Rauschen] Ob Sie's glauben oder nicht ich hatte schon bessere Tage.\n\nHey kann mir irgendwer sagen <i>warum</i> die Taurianer für Espinosa kämpfen? Und was gerade dieser Ostergaard gegen uns hat? [Rauschen] Das ist nämlich ziemlich übler Mist hier.
illtalktothem^yousay^andthemeetingmoveson*afterward^yourecordaresponse*newlinenewlineinit^youexplain^withmuchgravitas^thatyouselectedeachofthebanksfortheirprestigeandreliability*youremindthemofyourimpeccablepaymenthistory*newlinenewlineyouconcludebyexpressingyourdesireforalongandfruitfulfinancialrelationshipwiththem^hintingthatyoumightseekadditionalloanswhenyourcurrentonesarepaidinfull*newlinenewlineafewdayslater^thebankscontactyoutosaytheirpreviousmessagesweresentinerrorandshouldbeignored*,Ich rede mit ihnen"" sagst du und führst die Besprechung fort. Später nimmst du dann eine Antwort auf.\n\nIn dieser erklärst du bedeutungsschwanger dass du jede Bank aufgrund ihres Ansehens und ihrer Zuverlässigkeit ausgewählt hast. Du erinnerst sie auch an deine einwandfreie Zahlungsmoral.\n\nDu schließt deine Antwort damit ab dass du weiterhin auf eine lange und erfolgreiche Geschäftsbeziehung mit ihnen hoffst. Außerdem deutest du an dass du an weiteren Krediten interessiert wärst sobald die jetzigen vollständig abbezahlt sind.\n\nEinige Tage später kontaktieren dich die Banken und lass verlauten dass die vorherigen Nachrichten ""fälschlicherweise"" gesendet wurden und ignoriert werden können.
illtearthatthrice-damnedshackdownaroundyoutoreclaimwhatyouhavestolenfromme^mercenaryscum!,Ich reiß diese dreifach verfluchte Bruchbude ein wenn es sein muss um mir das wiederzuholen was Sie mir gestohlen haben Sie verdammter Söldner!
illtellyouwhereyoucanputyourconsolationprize*,Ich sag Ihnen wo Sie sich Ihren Trostpreis hinschieben können.
illtry^{commander*callsign}*believemeilltry*newlinenewlinefarewell^myfriends*iwishyousuccessinyouradventurestocome*,Ich werde es versuchen {COMMANDER.Callsign}. Das können Sie mir glauben ... ich werde es versuchen.\n\nLeben Sie wohl meine Freunde. Ich wünsche Ihnen viel Erfolg bei Ihren weiteren Abenteuern.
illtrytorememberthat*tianyuout*,Ich werde versuchen mich daran zu erinnern. Tianyu Ende.
illusemyinfluencetopromoteyouragenda^solongasthatagendaiswithinreason*newlinenewlineonlyafoolwouldpromisemorethanthat*,Ich nutze meinen Einfluss um Ihre Ziele zu unterstützen solange diese Ziele sinnvoll sind.\n\nNur ein Narr würde mehr versprechen.
illushinisfamedforitscheeses;itstwocontinentsfeaturevastfertilegrasslandsonwhichavarietyofherdanimalscanbegrazed*largecoastalspaceportcitiesshipluxuryfoodsoff-world^aswellasmanufacturedgoodsandmilitarysupplies*,Illushin ist für seinen Käse bekannt. Seine beiden Kontinente zeichnen sich durch fruchtbares Grasland aus auf dem verschiedenste Herdentiere weiden können. Es gibt einige große Küstenstädte mit Raumhafen von denen aus Genussmittel Industrieerzeugnisse und militärische Ausrüstung exportiert werden.
iloathetheprioritiesgiventousbyouremployers^thatallowustocallthisavictory*,Ich hasse die Prioritäten unserer Auftraggeber ... dass wir das hier einen Sieg nennen dürfen.
ilookforwardtoit^kamea*intheinterim^knowthatyourdearestfriendwilllanguishas*i*languishedinlordkarosasdungeons*iwillmakehimsufferinyourstead*,Ich freue mich schon darauf Kamea. In der Zwischenzeit kannst du dir sicher sein dass dein geliebter Freund hier versauert - so wie *ich* im Kerker von Lord Karosas versauern musste. Er wird an deiner Stelle leiden.
ilookforwardtoit^kamea*intheinterim^knowthatyourdearestfriendwilllanguishasilanguishedinlordkarosassdungeons*iwillmakehimsufferinyourstead*,Ich freue mich schon darauf Kamea. In der Zwischenzeit kannst du dir sicher sein dass dein geliebter Freund hier versauert - so wie <i>ich</i> im Kerker von Lord Karosas versauern musste. Er wird an deiner Stelle leiden.
ilovethesmellofcoolantinthemorning!,Der Geruch von Kühlmittel am Morgen vertreibt Kummer und Sorgen!
imafraiddisappointmentdoesntevenbegintocoverwhatimfeelingrightnow^commander{commander*lastname}*youvemadeaseriousmistaketoday*idonotexpecttheconfederationsrelationshipwithyourcompanytosurvivethis*newlinenewlinegoodday*,Ich fürchte ""Enttäuschung"" entspricht nicht annähernd dem was ich gerade fühle Commander {COMMANDER.LastName}. Sie haben heute einen großen Fehler gemacht. Ich denke die Beziehung zwischen der Konföderation und Ihrer Einheit wird das nicht überleben.\n\nSchönen Tag noch.
imafraidicantletyoutakethosevehicles*nothingpersonal^youunderstand*ijustneedtosupportmylavishlifestyle*,Ich fürchte ich kann nicht zulassen dass Sie sich diese Fahrzeuge unter den Nagel reißen. Nichts Persönliches aber irgendwie muss ich ja meinen ausufernden Lebensstil finanzieren.
imafraidnot*theyrecalledbransonsmosquitoes*newlinenewlineimagineacolonialbitingflythesizeofyourthumb*theyserveascarriersforharmfulbacteria*,Leider nicht. Sie heißen Bransons Moskitos.\n\nStellen Sie sich eine koloniale Stechmücke vor die so groß ist wie Ihr Daumen. Die übertragen gefährliche Bakterien.
imafraidnot^[[tgt_mw^{tgt_mw*callsign}*dariushasafullscheduleformetoday*illneedtotakearaincheck*newlinenewline{tgt_mw*subj_c}{tgt_mw*gender?nonbinary:look|default:looks}disappointed^noworries^commander*nexttime*newlinenewlinelater^afteryouvefinishedyourworkout^youpassbythegameandcatchthefinalfewminutes*seeingthecaliberofplayondisplayitsatoss-upastohowthegamewouldhaveturnedout*,Ich fürchte nicht [[TGT_MW{TGT_MW.Callsign}]]. Darius hat mir morgen einiges in den Kalender gedrückt. Wir müssen das leider verschieben.""\n\n{TGT_MW.Subj_C} sieht enttäuscht aus aber antwortet: ""Kein Ding Commander. Beim nächsten Mal dann.""\n\nNach deinem Training schaust du kurz beim Spiel vorbei und siehst dir die letzten Minuten an. Angesichts der hochkalibrigen Spieler hast du keine Ahnung wie das Spiel ausgegangen wäre.
imafraidnot^[[tgt_mw^{tgt_mw*callsign}*dariushasafullscheduleformetoday*illneedtotakearaincheck*newlinenewline{tgt_mw*subj_c}{tgt_mw*gender?nonbinary:look|default:looks}looksdisappointed^noworries^commander*nexttime*newlinenewlinelater^afteryouvefinishedyourworkout^youpassbythegameandcatchthefinalfewminutes*seeingthecaliberofplayondisplayitsatoss-upastohowthegamewouldhaveturnedout*,Ich fürchte nicht [[TGT_MW{TGT_MW.Callsign}]]. Darius hat mir morgen einiges in den Kalender gedrückt. Wir müssen das leider verschieben.""\n\n{TGT_MW.SUBJ_C} sieht enttäuscht aus aber antwortet: ""Kein Ding Commander. Beim nächsten Mal dann.""\n\nNach deinem Training schaust du kurz beim Spiel vorbei und siehst dir die letzten Minuten an. Angesichts der hochkalibrigen Spieler hast du keine Ahnung wie das Spiel ausgegangen wäre.
imafraidso*still^thecontractitselfwasquitereal^eventhoughthemotivationbehinditwasnot*youllbeamplyrewardedforyourtimeandtherisk*idontwishtojeopardizeoneofthe[[dm*factions[faction_kurita]^combinesmostprofitablemercenarypartnerships*,Ich befürchte ja. Der Auftrag selbst war jedoch äußerst real auch wenn es die Beweggründe dafür nicht waren. Sie werden für Ihre Zeit und das Risiko angemessen entlohnt werden. Diese Söldnerpartnerschaft ist für das [[DM.Factions[faction_Kurita]Kombinat]] äußerst profitabel und ich möchte das nicht gefährden.
imafraidthatitstheonlyoptionlefttoyou*aswespeak^ihavehalfadozenanti-shipmissilestrainedonthebloatedmonstrositythatyoucalltheargo*newlinenewlineifyouattempttodockwithher^illblowheroutofthesky*,Ich fürchte das ist die einzige Option die Ihnen noch bleibt. Gerade sind ein halbes Dutzend Schiffsabwehrraketen auf die aufgeblähte Monstrosität gerichtet die Sie <i>Argo</i> nennen.\n\nWenn Sie versuchen dort anzudocken puste ich sie vom Himmel.
imafraidthatthechancellordisagreeswithyourassessment^dr*murad*intheconfederation^thereisnohighercrimethanthreateningthesecurityofthestate^andthechancellordrawslittledistinctionbetweenphysicalthreatsandideologicalones*newlinenewlinetheentirevolkovitecommunityhasbeenmarkedfordeath*ineedyoutohelpmecarryoutthesentence*,Ich fürchte der Kanzler teilt Ihre Einschätzung nicht Dr. Murad. In der Konföderation gibt es kein schändlicheres Verbrechen als die Sicherheit des Staats zu bedrohen. Ob es sich dabei um physische oder ideologische Bedrohungen handelt ist für den Kanzler nicht von Bedeutung.\n\nDie gesamte Volkovitengemeinde wurde zum Tod verurteilt. Und Sie müssen das Urteil für mich vollstrecken.
imafraidthatwewontbeabletomakeamoveifanyofthemgetthrough;ijustdonthavethenumberstogoupagainsttaurianmarinesinagroundfight*bestofluck^commander*,Ich fürchte wir können nichts unternehmen wenn die durchkommen. Ich habe einfach zu wenig Leute um einen Bodenkampf gegen die Taurus-Marines zu gewinnen. Viel Glück Commander.
imafraidtheresmore*alexander^ivejustreceivedamessagefrom[[dm*basedescriptiondefs[loreanamariacentrella]^ladycentrella*theresbeenamajorincidenton[[dm*basedescriptiondefs[loreperdition]^perdition*newlinenewlineitlookslikeaterroristactionachemicalattackagainsttheportcityofharlowslanding*initialcasualtyreportssuggestsomeeleventhousanddead*,Ich fürchte das war noch nicht alles. Alexander ich habe gerade eine Nachricht von [[DM.BaseDescriptionDefs[LoreAnaMariaCentrella]Lady Centrella]] erhalten. Es gab einen schwerwiegenden Zwischenfall auf [[DM.BaseDescriptionDefs[LorePerdition]Perdition]].\n\nScheint sich um einen Terrorangriff zu handeln - genau genommen um einen Chemiewaffenangriff auf die Hafenstadt Harlow's Landing. Den ersten Berichten zufolge sind dabei etwa 11.000 Menschen ums Leben gekommen.
imafraidwestilldontunderstand*what^exactly^happenedhere?,Ich fürchte wir verstehen noch immer nicht. Was ist hier genau passiert?
imaginemerollingmyeyesdramatically*atanyrate^mypeopletellmethereareatleasttwolancesofenemymechsonthesurface^advancingtowardyourposition*ihaveinboundaerospacesupport^soallyouneedtodoisholdoutuntilitarrives*,Stellen Sie sich vor wie ich übertrieben mit den Augen rolle. Wie dem auch sei meine Leute haben mir berichtet dass sich mindestens zwei Lanzen feindlicher Mechs auf der Oberfläche befinden die sich auf Ihre Position zubewegen. Ich habe Ihnen Luftunterstützung geschickt Sie müssen also lediglich durchhalten bis diese eintrifft.
imallears*whatstheproblem?,Ich bin ganz Ohr. Wo liegt das Problem?
imalsoseeinganlrmemplacementbetweenthetwocheckpoints*,Zwischen den beiden Kontrollpunkten befindet sich auch eine LSR-Stellung.
imalsoseeingenginesignaturesofftotheleft:enemymechs^movingupthroughforestcover*,Ich sehe auch Fahrzeugsignaturen auf der linken Seite: gegnerische Mechs die im Schutz des Walds vorrücken.
imamanofmyword*andevenifitwasnttrue^imnotstupidenoughtoletthesametrainhitmetwice*inthisanalogy^yourethetrain*,Ich bin ein Mann der zu seinem Wort steht. Und selbst wenn dem nicht so wäre bin ich doch nicht blöd genug mich zweimal vom selben Güterzug überrollen zu lassen. In dieser Analogie sind Sie übrigens der Güterzug.
imamanofstatusthatmuchisobvious*justlookatmyship!yet^outoftheblue^igetaccostedbyapackofgrubbylittlemercenarieswhotakeoutmysecurityandleavemedefenseless*newlinenewlinenow^obviously^icantletsomethinglikethatslide*sowhatsaheavilyarmed^proud^andangrymanlikemetodo?,Ich bin ein angesehener Mann so viel ist sicher. Sie brauchen sich nur mein Schiff anzusehen! Und trotzdem werde ich aus dem Nichts von einem Haufen dreckiger kleiner Söldner belästigt die meine Sicherheitsleute ausschalten sodass ich wehrlos bin.\n\nNun natürlich kann ich so was nicht dulden. Was soll ein schwer bewaffneter stolzer und obendrein <i>stinkwütender</i> Mann wie ich also tun?
imarriedhim*longstory*buttheimportantbitis^inthesixmonthsbeforetheannulment^ilearnedthatihadarealtalentwithmachines*whenheinerblewoutapowerrelayortookatireirontothebandsaw^iwastheonewhowouldputitbacktogetheragain*newlinenewlineifoundagreatdealofpeaceinthat*,Ich habe ihn geheiratet. Das ist eine lange Geschichte. Aber das Wichtige daran ist dass ich in den sechs Monaten bis zur Aufhebung unserer Ehe herausgefunden habe dass ich ein Händchen für Maschinen hatte. Wenn Heiner ein Stromrelais hochjagte oder die Bandsäge mit einem Reifenmontierhebel zerdepperte habe <i>ich</i> danach alles wieder repariert.\n\nUnd dabei habe ich meinen Frieden gefunden.
imasenthusiasticaboutcharityasanyoneelse^butwerealreadyoncontracttodoanothercombatmissionforhousesteiner*ifwehelpthelocals^wellbeputtingourownpeopleandbattlemechsatriskfornothing*newlinenewlinehell^itsworsethanthatwellbedevaluingourservicesinfrontofaclient*imassumingthatthiszapataguycantpayusanything?,Ich bin ja jederzeit für wohltätige Arbeit zu haben aber wir haben bereits einen Auftrag für eine andere Kampfmission von Haus Steiner. Wenn wir den Einheimischen helfen setzen wir unsere eigenen Leute und BattleMechs ohne Entschädigung hohen Risiken aus.\n\nVerdammt es ist sogar noch schlimmer: Wir mindern unseren eigenen Wert vor einem Kunden. Ich gehe mal davon aus dass dieser Zapata uns nicht bezahlen kann oder?
imassumingthathardwaremeansweapons^commander*thisshouldbeafairlystandardbasedefense*,Ich gehe mal davon aus dass sie mit ""Hardware"" ""Waffen"" meinen Commander. Die Basisverteidigung sollte recht simpel sein.
imayhaveabitmoretolearnaboutmechpiloting*,Vielleicht muss ich als Mechpilotin noch etwas lernen.
imbettingmylifethatshewont*nowplease^kameagobacktothetriagetentandgetyourwoundslookedat*theconditionsherearebeyondunsanitary^andyoullbeofnousetoanyoneifyouredyingofsomeexoticinfection*newlinenewlineourpeoplecantendtothewounded*weneedyoustrongforthefightahead*,Ich verwette mein Leben darauf dass sie das nicht wird. Aber jetzt will ich dass Sie sich sofort im Sanitätszelt untersuchen lassen Kamea. Die Bedingungen hier sind alles andere als hygienisch und wenn Sie sich irgendeine exotische Infektion holen und daran krepieren ist niemandem geholfen.\n\nUnsere Leute können sich um die Verwundeten kümmern. Sie müssen sich für den bevorstehenden Kampf fit halten.
imbettingthisisthetraptheyvebeenplanning*beprepared^commander*,Ich wette das ist diese geplante Falle. Seien Sie wachsam Commander.
imcls,imcls
imcollectingstoriesaboutthecrew*tellmesomethingaboutyourself*,Ich sammle Geschichten über die Besatzung. Erzählen Sie mir was über sich.
imcomingforyou^cousin!thedirectoratediestoday!,Bald ist es vorbei Cousine! Das Direktorat nimmt heute seinen letzten Atemzug!
imcomingforyou^victoria!doyouhearme?!,Das wirst du bereuen Victoria! Hast du gehört?!
imcountingonyoutocompensateforthat*ontheordersoftheroyalfamily^mydropshipisloadedandreadytofly*cameracrewsarealreadyinpositiontolive-broadcastmyarrival*newlinenewlineifihadanychoiceinthematter^iwouldntbedoingthis*lefttomyowndevices^idleaveshaunavonwithoutabackwardglance*butasisaidbefore^necessitycompels*thatsastrueforthenobilityasitisforanyoneelse*,Ich zähle darauf dass Sie damit zurechtkommen. Auf Anordnung der königlichen Familie wurde mein Landungsschiff beladen und ist jetzt startklar. Die Kamerateams sind schon da um meine Ankunft live zu übertragen.\n\nWenn ich die Wahl hätte würde ich darauf verzichten. Ich würde Shaunavon den Rücken kehren. Aber wie ich schon sagte was sein muss muss sein. Das gilt sowohl für den Adel als auch für jeden anderen.
imcr,imcr
imcurrentlyhidingrightundertheiridiotnoses^here*getinrangeandillcomeouttomeetyou*,Ich bin gerade direkt unter ihren dämlichen Nasen versteckt. Kommen Sie näher dann komme ich raus und wir treffen uns.
imdroppingyouatthebaumanngroupsarmory^commander*hitithardenough^andtheprisonsgarrisonshouldcomerunning^clearingthewayforthemoderbjörntorescuecaptainmagorianwithitsdrones*,Ich setze Sie bei der Rüstkammer der Baumann Group ab Commander. Wenn Sie sie stark genug treffen sollte die Gefängnisgarnison angerannt kommen und so den Weg für den Moderbjörn freigeben um Captain Magorian mit den Drohnen zu retten.
imean^sure^iguess?butletsbereal^thezhaosiblingsarebothterriblepeople*fromacosmicjusticestandpoint^theyreprettyinterchangeableasfarasimconcerned*,Hm klar schätze ich. Aber mal im Ernst: Beide Zhaos sind schreckliche Menschen. Von einem Standpunkt der kosmischen Gerechtigkeit aus sind sie für mich völlig austauschbar.
imeverythingyouremember?youshowupafterthreeyears^andthatsallthatyouhavetosay?,Ihre Erinnerungen haben Sie nicht getrogen? Sie tauchen hier nach <i>drei</i> Jahren plötzlich wieder auf und das ist alles was Sie zu sagen haben?
imfullyawareofourfinancialsituation^meyer*buticantjustconjureupnewclientsoutofthinair*newlinenewline{commander*firstname}^domeasolidandbackmeuponthis*,Ich bin mir unserer finanziellen Situation vollkommen bewusst Meyer. Aber ich kann uns nun mal keine neuen Kunden aus dem Hut zaubern.\n\n{COMMANDER.FirstName} bitte lassen Sie mich hier nicht allein stehen.
imfullyawarethatwarhasaprice^{commander*callsign}*andiexpectthatpricetoescalate*newlinenewlinebutfornow^icanaffordtohelpthesepeople*andsoiwillandtohellwiththecost*,Ich bin mir vollkommen darüber im Klaren dass ein Krieg seinen Preis fordert {COMMANDER.Callsign}. Und ich rechne damit dass dieser Preis stark steigen wird.\n\nAber derzeit kann ich es mir noch leisten diese Leute zu unterstützen. Und das werde ich auch ungeachtet der Kosten.
imgameifyouare*troubleisourbusiness^afterall*andwevegotmorethanenoughbattlemechstohandlewhateverfatethrowsourway*,Ich bin dabei wenn Sie es sind. Konflikte <i>sind nun mal</i> unser Fachgebiet. Und wir haben mehr als genug BattleMechs um mit allem fertig zu werden was uns das Schicksal in den Weg werfen wird.
imgettinganewsensorcontact^xo*lookslikeladycunninghamsdropship*sheshereforherphotoop^andsheprobablyisntgonnalikewhatshesees*,Ich habe was Neues auf den Sensoren Erster Offizier. Sieht aus wie Lady Cunninghams Landungsschiff. Sie ist wegen ihres Fototermins hier und ihr wird wohl kaum gefallen was sie zu sehen bekommt.
imgettingareportfromsumireofhostilesmovinginthearea*weneedtopunchthroughandsecurethebase*,Sumire meldet Feindbewegungen in diesem Gebiet. Wir müssen uns durchkämpfen und die Basis sichern.
imgettingasignalfromthesatellite^commander*theyvelockedontothebeaconssuccessfully*,Ich habe ein Signal vom Satelliten erhalten Commander. Die Sender wurden erfolgreich erfasst.
imgettingradiochatterfromthefacility^commander*itsoundslikethecrewhasstagedanuprising*,Ich habe Funksprüche der Einrichtung abgefangen Commander. Klingt so als hätte die Belegschaft einen Aufstand angezettelt.
imgettingreportsthatafederatedsunslanceisalreadyinbound^soexpectcontactshortly*,Mir liegen Berichte über eine Lanze der Vereinigten Sonnen vor die sich im Anmarsch befindet. Sie werden in Kürze mit Feindkontakt rechnen müssen.
imgettingupdatedintelfromouremployer*theybelievethebaseisgoingtobeevenmoreheavilydefendedthanwethought*,Ich habe neue Informationen von unserem Auftraggeber erhalten. Er glaubt die Basis ist noch stärker verteidigt als wir bereits angenommen hatten.
imgettingwordfromourfriends;allthedatahasbeensecured*welldone^commander*,Unsere Freunde haben sich gerade gemeldet - alle Daten wurden gesichert. Gute Arbeit Commander.
imgladthatweregonnahavejailbirdandherlanceonoursideforthis^butweshouldkeepoureyesopenforcheval*shedidntsoundlikeshewasplanningonsittingthisoneoutquietly*,Ich bin froh dass Jailbird und ihre Lanze auf unserer Seite kämpfen werden aber wir sollten auch Ausschau nach Cheval halten. Sie klang nicht so als wolle sie einfach nur untätig zusehen.
imgladthatweseeeyetoeye*frankly^weregonnaneedthehelp;asyousawonthatlastdeployment^thisprojectisbringingallofthegreathousesoutofthewoodwork*,Freut mich dass wir derselben Meinung sind. Um ehrlich zu sein können wir Ihre Hilfe gut gebrauchen. Wie Sie beim letzten Einsatz schon sehen konnten kommen bei diesem Projekt alle großen Häuser aus ihren Löchern gekrochen.
imgladthatyoudecidedtolistentoreason^commanderyoudbesurprisedhowmanyso-calledmercenarieslackthesavvytojumponanopportunitylikethiswhenitpresentsitself*now^thelostechcachethatimsendingyouafterisclosetoourlocation^buttheresacatch:itssealedawayinadefunctmineshaft*ivegotawayin^though*followmyinstructions^andwellallgetrich*,Ich bin froh dass Sie auf die Vernunft hören Commander. Sie wären überrascht wenn Sie wüssten wie viele angebliche Söldner sich so eine Gelegenheit entgehen lassen würden. In Ordnung. Also die LosTech-Kammer zu der ich Sie schicke befindet sich ganz in der Nähe aber es gibt ein kleines Problem: Sie liegt in einem still gelegten Minenschacht begraben. Ich weiß allerdings wie Sie da reinkommen. Befolgen Sie meine Anweisungen und wir werden alle reich.
imgladthatyouresounderstandingaboutthis*surprised^butglad*newlinenewlineoutofcuriosity^howareyougoingtogetaroundthefactthatthehostageswerekilledinadavioncombatoperation?,Ich bin froh dass Sie das verstehen. Überrascht aber froh.\n\nNur aus Neugier ... wie wollen Sie eigentlich rechtfertigen dass die Geiseln bei einem Davion-Kampfeinsatz ums Leben gekommen sind?
imgladtheyhaveconfidenceinus^butfranklyidprefersomereinforcementsonthefield*keepaneyeoutforsong;theyshouldbeaprioritytarget*,Es freut mich ja dass sie so großes Vertrauen in uns haben aber um ehrlich zu sein wäre mir Verstärkung auf dem Schlachtfeld lieber. Halten Sie die Augen nach unserem Primärziel Song offen.
imgladtohearit*aftertheasswhippingyoujusthandedus^thelastthingiwantedtodowasgoupagainstyourlanceagain*newlinenewlineillpassyourmessagealongandtellpersephonetogetherpeoplepackedupandreadytomove*,Das höre ich gerne. Nachdem Sie uns gerade schon die Hölle heißgemacht haben habe ich wirklich kein Interesse daran erneut gegen Ihre Lanze zu kämpfen.\n\nIch werde Ihre Nachricht weiterleiten und Persephone sagen dass sie ihre Leute abreisebereit machen soll.
imgladtohearit^becauseitsgonnahavetobe*nowthatwerehere^werekindofcommittedtoseeingthisjobthrough*newlinenewlineillleaveyoutoit^{commander*firstname}*goodhuntingonthemoonssurfaceillbekeepinganeyeonyoufromuphere*,Freut mich zu hören alles andere wäre schlecht. Da wir nun schon mal hier sind sollten wir den Job auch zu Ende bringen. Ich will Sie nicht länger aufhalten {COMMANDER.FirstName}. Gute Jagd auf dem Mond ... ich werde von hier oben auf Sie aufpassen.
imgladtohearit^commander{commander*lastname}*verygladindeed*newlinenewlinecometomewhenthejobisdone^andiwillseethatyourewellcompensated*,Freut mich zu hören Commander {COMMANDER.LastName} freut mich sehr.\n\nSuchen Sie mich auf nachdem der Auftrag abgeschlossen ist und ich werde dafür sorgen dass Sie dafür entlohnt werden.
imgladtoseethatwereonthesamepage*newlinenewlineaswebothknow^whatimaskingyoutodowillhaveconsequences*yourreputationwiththetaurianswillsufferforit^andyour[[dm*basedescriptiondefs[loremercenaryreviewboard]^mrbscorecouldbeaffected*[[dm*basedescriptiondefs[lorehouseliao]^houseliaoiswellpreparedtocompensateyoufortheseinconveniences*,Gut dass wir uns verstehen.\n\nWie wir beide wissen wird dieser Auftrag Folgen haben. Ihr Ruf bei den Taurianern wird darunter leiden und ihre [[DM.BaseDescriptionDefs[LoreMercenaryReviewBoard]SPK]]-Wertung möglicherweise ebenfalls. [[DM.BaseDescriptionDefs[LoreHouseLiao]Haus Liao]] wird Sie für diese Unannehmlichkeiten allerdings angemessen entschädigen.
imgladweregonnahavechevalandherlanceonoursideforthis^butweshouldkeepoureyesopenforjailbird*shedidntsoundlikeshewasplanningonsittingthisoneoutquietly*,Ich bin froh dass Cheval und ihre Lanze auf unserer Seite kämpfen werden aber wir sollten auch Ausschau nach Jailbird halten. Sie klang nicht so als wolle sie einfach nur untätig zusehen.
imgladyouasked*myclientshaveauthorizedmetoofferdoublewhathouseliaoispayingyouifyoullhelpescortthemoff-worldratherthankillingthem*newlinenewlinewelltakethembacktojoppa^inthefrontier*theyllbeoutofhouseliaoshairandoutofdanger^andyoullcomeoutontop*,Ich bin froh dass Sie fragen. Meine Kunden haben mich bevollmächtigt Ihnen das Doppelte der Bezahlung von Haus Liao anzubieten wenn Sie ihnen dabei helfen vom Planeten zu fliehen anstatt sie zu töten.\n\nWir werden sie nach Joppa im Grenzgebiet bringen. Damit wären sie kein Problem mehr für Haus Liao und nicht mehr in Gefahr. Und für Sie würde es sich allemal lohnen.
imgladyourenottakingthelosstoohard^ladysuiko*butletstrytokeepthedeathtominimum*welikehavingallies*,Ich bin froh dass Sie sich dadurch nicht entmutigen lassen Lady Suiko aber wir sollten trotzdem alles dafür tun die Opferanzahl möglichst gering zu halten bevor wir keine Verbündeten mehr haben.
imgladyourewell^myfriend*onceagain^houseliaowouldliketocalluponyourprowess*undertakethistaskforus^andwewillpayyouthehighestpossiblerates*iassureyou^thisisnotacontractforlesserwarriors*,Es freut mich Sie wohlauf zu sehen. Haus Liao bedarf erneut Ihrer Dienste. Wenn Sie diese Aufgabe für uns übernehmen können Sie mit unseren höchsten Raten rechnen. Ich kann Ihnen versichern dass wir diesen Vertrag nur würdigen Kriegern anbieten.
